Date,Market_Start,Market_End,Hora,Planet,Hora_Start,Hora_End,Market_Overlap_Start,Market_Overlap_End,Overlap_Minutes
2026-09-25,09:15:00,15:30:00,14,Sun,08:05:35,10:05:10,09:15:00,10:05:10,50.17
2026-09-25,09:15:00,15:30:00,15,Venus,10:05:10,12:04:45,10:05:10,12:04:45,119.58
2026-09-25,09:15:00,15:30:00,16,Mercury,12:04:45,14:04:20,12:04:45,14:04:20,119.58
2026-09-25,09:15:00,15:30:00,17,Moon,14:04:20,16:03:55,14:04:20,15:30:00,85.67
